,Source,Target
64,Go home.,বাড়ি যা।
65,Go home.,বাড়ি যান।
66,Go slow.,আস্তে যান।
67,Go slow.,আস্তে যাও।
68,Go slow.,আস্তে যা।
69,Goodbye!,বিদায়।
70,Goodbye!,এলাম!
71,He came.,সে এসেছিলো।
72,He came.,উনি এসেছিলেন।
73,He came.,ও এসেছিলো।
74,He came.,তিনি এসেছিলেন।
75,He runs.,এ দৌড়ায়।
76,He runs.,ইনি দৌড়ান।
77,He runs.,ও দৌড়ায়।
78,He runs.,সে দৌড়ায়।
79,He runs.,উনি দৌড়ান।
80,He runs.,তিনি দৌড়ান।
81,Help me!,আমাকে সাহায্য করুন!
82,Help us.,আমাদের সাহায্য করুন।
83,Help us.,আমাদের সাহায্য করো।
84,Help us.,আমাদের সাহায্য কর।
85,Hit Tom.,টমকে মারো।
86,Hit Tom.,টমকে মার।
87,Hit Tom.,টমকে মারুন।
88,I agree.,আমি একমত।
89,I tried.,আমি চেষ্টা করেছিলাম।
90,I tried.,আমি চেষ্টা করেছি।
91,I'm Tom.,আমি টম।
92,I'm shy.,আমি লাজুক।
93,I'm wet.,আমি ভিজে গেছি।
94,It's me.,আমি।
95,Keep it.,ওটা রাখো।
96,Keep it.,ওটা রাখুন।
97,Keep it.,ওটা রাখ।
98,"Me, too.",আমিও।
99,Perfect!,একদম ঠিক!
100,Show me.,আমাকে দেখান।
101,Show me.,আমাকে দেখাও।
102,Show me.,আমাকে দেখা।
103,Take it.,এটা নিন।
104,Take it.,এটা নাও।
105,Take it.,এটা নে।
106,Tell me.,আমাকে বল।
107,Tell me.,আমাকে বলুন।
108,Tell me.,আমাকে বলো।
109,Tom ate.,টম খেয়েছিল।
110,Tom ate.,টম খেয়েছে।
111,Tom ran.,টম দৌড়াল।
112,Tom ran.,টম দৌড়েছিল।
113,Tom won.,টম জিতল।
114,Wake up.,ঘুম থেকে ওঠ।
115,Wake up.,ঘুম থেকে উঠুন।
116,We lost.,আমরা হেরে গেছি।
117,We lost.,আমরা হেরে গেছিলাম।
118,Who ate?,কে খেয়েছিল?
119,Who ate?,কে খেয়েছিলেন?
120,Who ate?,কে খেয়েছে?
121,Who ate?,কে খেয়েছেন?
122,Who ran?,কে দৌড়াল?
123,Who ran?,কে দৌড়েছিল?
124,Who ran?,কে দৌড়ালেন?
125,Who ran?,কে দৌড়েছিলেন?
126,Who won?,কে জিতল?
127,Who won?,কে জিতেছিল?
128,Why not?,কেন নয়?
129,You run.,তুমি দৌড়াও।
130,You run.,তোমরা দৌড়াও।
131,You run.,আপনি দৌড়ান।
132,You run.,আপনারা দৌড়ান।
133,You won.,আপনি জিতলেন।
134,You won.,তুমি জিতলে।
135,Be quiet.,চুপ কর।
136,Be quiet.,চুপ করো।
137,Be quiet.,চুপ করুন।
138,Call Tom.,টমকে ডাকো।
139,Call Tom.,টমকে ডাকুন।
140,Call Tom.,টমকে ফোন করো।
141,Call Tom.,টমকে ফোন করুন।
142,Don't go.,যেও না।
143,Don't go.,যাবেন না।
144,Don't go.,যাস না।
145,Get lost!,যাও এখান থেকে!
146,Get lost!,যান এখান থেকে!
147,Get lost!,যা এখান থেকে!
148,Grab Tom.,টমকে ধরো।
149,Grab Tom.,টমকে ধরুন।
150,Have fun.,আনন্দ কর।
151,Have fun.,মজা কর।
152,Have fun.,আনন্দ করুন।
153,Have fun.,মজা করুন।
154,He spoke.,উনি বললেন।
155,He spoke.,সে বললো।
156,He spoke.,ও বললো।
157,He spoke.,তিনি বললেন।
158,He tries.,উনি চেষ্টা করেন।
159,He tries.,তিনি চেষ্টা করেন।
160,He tries.,ও চেষ্টা করে।
161,He tries.,সে চেষ্টা করে।
162,Help Tom.,টমকে সাহায্য করো।
163,Help Tom.,টমকে সাহায্য করুন।
164,How deep?,কতটা গভীর?
165,Hurry up.,তাড়াতাড়ি করো।
166,Hurry up.,তাড়াতাড়ি কর।
167,Hurry up.,তাড়াতাড়ি করুন।
168,I can go.,আমি যেতে পারি।
169,I forgot.,আমি ভুলে গেছি।
170,I get it.,আমি বুঝতে পারলাম।
171,I got it.,আমি বুঝেছি।
172,I got it.,আমি বুঝে গেছি।
173,I refuse.,আমি অস্বীকার করছি।
174,I stayed.,আমি থাকলাম।
175,I stayed.,আমি থেকে গেলাম।
176,I use it.,আমি এটা ব্যবহার করি।
177,I waited.,আমি অপেক্ষা করলাম।
178,I'm back.,আমি এসে গেছি।
179,I'm back.,আমি ফিরে এসেছি।
180,I'm busy.,আমি ব্যস্ত।
181,I'm cold.,আমার শীত করছে।
182,I'm fine.,আমি ঠিক আছি।
183,I'm full.,আমার পেট ভরতি হয়ে গেছে।
184,I'm home.,আমি এসে গেছি।
185,I'm lazy.,আমি কুঁড়ে।
186,I'm lazy.,আমি অলস।
187,I'm lost.,আমি হারিয়ে গেছি।
188,I'm okay.,আমি ঠিক আছি।
189,I'm poor.,আমি গরিব।
190,I'm sick.,আমি অসুস্থ।
191,I'm well.,আমি ভালো আছি।
192,I've won.,আমি জিতে গেছি।
193,It's new.,এটা নতুন।
194,Kiss Tom.,টমকে চুমু করুন।
195,Kiss Tom.,টমকে চুমু করো।
196,Leave it.,ছাড়ো।
197,Leave it.,ছাড়।
198,Leave it.,ছাড়ুন।
199,Leave me.,আমাকে চেড়ে দাও।
200,Leave me.,আমাকে চেড়ে দিন।
201,Leave me.,আমাকে চেড়ে দে।
202,Leave us.,আমাদের চেড়ে দাও।
203,Leave us.,আমাদের চেড়ে দিন।
204,Leave us.,আমাদের চেড়ে দে।
205,Let's go!,যাওয়া যাক!
206,Let's go.,যাওয়া যাক।
207,Sit down!,বসো!
208,Sit down!,বস!
209,Sit down!,বসুন!
210,Sit down.,বসুন।
211,Sit down.,বস।
212,Sit down.,বসো।
213,Speak up!,জোরে বলো!
214,Speak up!,জোরে বল!
215,Stand up!,দাঁড়াও!
216,Stand up!,দাঁড়া!
217,Stand up!,দাঁড়ান!
218,Stand up.,দাঁড়াও।
219,Stand up.,দাঁড়া।
220,Stand up.,দাঁড়ান।
221,Stop Tom.,টমকে থামান।
222,Stop Tom.,টমকে থামাও।
223,Stop Tom.,টমকে আটকাও।
224,Stop Tom.,টমকে আটকান।
225,Tell Tom.,টমকে বলো।
226,Tell Tom.,টমকে বলুন।
227,Terrific!,দারুন!
228,They won.,তারা জিতলো।
229,They won.,ওনারা জিতলেন।
230,They won.,ওরা জিতলো।
231,They won.,তাঁরা জিতলো।
232,Tom came.,টম এলো।
233,Tom came.,টম এসেছিলো।
234,Tom died.,টম মারা গেছে।
235,Tom died.,টম মারা গেলো।
236,Tom knew.,টম জানতো।
237,Tom lied.,টম মিথ্যা কথা বললো।
238,Tom lies.,টম মিথ্যে বলে।
239,Tom lost.,টম হেরে গেলো।
240,Trust me.,আমাকে বিশ্বাস করো।
241,Trust me.,আমাকে বিশ্বাস কর।
242,Trust me.,আমাকে বিশ্বাস করুন।
243,Try hard.,আরও চেষ্টা করো।
244,Try hard.,আরও চেষ্টা কর।
245,Try hard.,আরও চেষ্টা করুন।
246,Use this.,এটা ব্যবহার কর।
247,Use this.,এটা ব্যবহার করো।
248,Use this.,এটা ব্যবহার করুন।
249,We agree.,আমরা একমত।
250,We tried.,আমরা চেষ্টা করেছিলাম।
251,What for?,কি জন্যে?
252,What for?,কি কারনে?
253,What fun!,কি মজা!
254,Who came?,কে এসেছিলো?
255,Who came?,কে কে এসেছিলো?
256,Who came?,কে এলো?
257,Who fell?,কে পড়লো?
258,Who's he?,উনি কে?
259,Who's he?,ও কে?
260,Who's he?,সে কে?
261,Who's he?,তিনি কে?
262,Answer me.,আমার প্রশ্নের জবাব দিন।
263,Answer me.,আমার প্রশ্নের জবাব দাও।
264,Answer me.,উত্তর দিন।
265,Answer me.,উত্তর দাও।
266,Birds fly.,পাখি ওড়ে।
267,Calm down.,শান্ত হোন।
268,Calm down.,শান্ত হও।
269,Can I eat?,আমি কি খেতে পারি?
270,Don't cry.,কেঁদো না।
271,Go inside.,ভেতরে যান।
272,Go inside.,ভেতরে যাও।
273,How weird!,কি অদ্ভুত!
274,I am busy.,আমি ব্যস্ত।
275,I am cold.,আমার শীত করছে।
276,I am fine.,আমি ঠিক আছি।
277,I am okay.,আমি ঠিক আছি।
278,I am sick.,আমি অসুস্থ।
279,I am well.,আমি ভালো আছি।
280,I can run.,আমি দৌড়াতে পারি।
281,I can ski.,আমি স্কী করতে পারি।
282,I fainted.,আমি অজ্ঞান হয়ে গেলাম।
283,I hit Tom.,আমি টমকে মারলাম।
284,I saw him.,আমি তাকে দখতে পেলাম।
285,I saw him.,আমি ওনাকে দখতে পেলাম।
286,I want it.,আমার এটা চাই।
287,I will go.,আমি যাবো।
288,I'll talk.,আমি কথা বলব।
289,I'm awake.,আমি জেগে আছি।
290,I'm broke.,আমি দেউলিয়া হয়ে গেছি।
291,I'm clean.,আমি পরিষ্কার।
292,I'm ready.,আমি তৈরি।
293,I'm right.,আমিই ঠিক।
294,I'm right.,আমি ঠিক।
295,I'm sorry.,ক্ষমা করবেন।
296,I'm tired.,আমি ক্লান্ত।
297,It's 7:45.,এখন ৭:৪৫।
298,It's late.,দেরী হয়ে গেছে।
299,It's ours.,এটা আমাদের।
300,Leave Tom.,টমকে ছাড়ো।
301,Leave Tom.,টমকে ছাড়ুন।
302,Leave Tom.,টমের কথা ছাড়ো।
303,Leave Tom.,টমের কথা ছাড়ুন।
304,Let me go!,আমাকে যেতে দাও!
305,Let me in.,আমাকে ঢুকতে দিন।
306,Let me in.,আমাকে ঢুকতে দাও।
307,Let us in.,আমাদের ঢুকতে দিন।
308,Let's ask.,জিজ্ঞাসা করা যাক।
309,May I eat?,আমি কি খেতে পারি?
310,Of course!,নিশ্চই!
311,Of course!,অবশ্যই!
312,Of course.,নিশ্চই।
313,Of course.,অবশ্যই।
314,Pardon me?,কী বললেন?
315,Pardon me?,কী বললে?
316,See above.,উপরে দেখুন।
317,See below.,নীচে দেখুন।
318,She walks.,উনি হাঁটেন।
319,She walks.,সে হাঁটে।
320,She walks.,ও হাঁটে।
321,She walks.,তিনি হাঁটেন।
322,Sign here.,এখানে সই করুন।
323,Slow down.,আস্তে চালান।
324,Stay here.,এখানে দাঁড়ান।
325,Stay here.,এখানে দাঁড়াও।
326,Then what?,তাহলে?
327,Then what?,তাহলে আবার কী?
328,Tom tried.,টম চেষ্টা করলো।
329,Tom tries.,টম চেষ্টা করে।
330,Tom voted.,টম ভোট দিলো।
331,Tom walks.,টম হাঁটে।
332,Tom's shy.,টম লাজুক।
333,Trust Tom.,টমকে বিশ্বাস করুন।
334,Trust Tom.,টমকে বিশ্বাস করো।
335,Try again.,আবার চেষ্টা করুন।
336,Try again.,আবার চেষ্টা করো।
337,Turn left.,বাঁদিকে ঘুরুন।
338,Turn left.,বাঁদিকে ঘোরো।
339,Wait here.,এখানে অপেক্ষা করুন।
340,Wait here.,এখানে অপেক্ষা করো।
341,Watch Tom.,টমের উপর নজর রাখো।
342,Watch Tom.,টমের উপর নজর রাখুন।
343,Watch out!,দেখে!
344,Watch out!,সাবধানে!
345,We failed.,আমরা অসফল হলাম।
346,We forgot.,আমরা ভুলে গেলাম।
347,We saw it.,আমরা দেখেছি।
348,We'll try.,আমরা চেষ্টা করব।
349,We'll win.,আমরাই জিতব।
350,We'll win.,আমরা জিতবই।
351,We're shy.,আমরা লাজুক।
352,What else?,আর কী?
353,What's up?,কি খবর?
354,Who cares?,কার কী এসে যায়?
355,Who is he?,উনি কে?
356,Who is he?,ও কে?
357,Who is he?,সে কে?
358,Who is he?,তিনি কে?
359,Who is it?,কে?
360,Who's she?,উনি কে?
361,Who's she?,ও কে?
362,Who's she?,সে কে?
363,Who's she?,তিনি কে?
364,Wonderful!,দারুন!
365,You drive.,আপনিই চালান।
366,You drive.,তুমি চালাও।
367,Be careful.,সাবধানে।
368,Birds sing.,পাখি গান গায়।
369,Come again.,আবার আসবেন।
370,Come again.,আবার এসো।
371,Definitely!,নিশ্চই!
372,Definitely!,একদম!
373,Don't come.,এসো না।
374,Don't come.,আসবেন না।
375,Don't come.,আসিস না।
376,Don't talk!,কথা বলবেন না!
377,Don't talk!,কথা বলিস না!
378,Don't talk!,কথা বোল না!
379,Don't talk.,কথা বোল না।
380,Don't talk.,কথা বলিস না।
381,Don't talk.,কথা বলবেন না।
382,Fill it up.,ভর্তি করে দিন।
383,Follow Tom.,টমকে অনুসরণ করো।
384,Follow Tom.,টমকে অনুসরণ করুন।
385,Follow Tom.,টমের পেছন পেছন যান।
386,Follow Tom.,টমের পেছন পেছন যাও।
387,Follow Tom.,টমের পিছু নিন।
388,Follow Tom.,টমের পিছু নাও।
389,Forget Tom.,টমকে ভুলে যাও।
390,Forget Tom.,টমকে ভুলে যান।
391,Forget him.,ওকে ছাড়ুন।
392,Forget him.,ওনাকে ছাড়ুন।
393,Forget him.,ওকে ছাড়ো।
394,Forget him.,ওনাকে ছাড়ো।
395,Forget him.,তাকে ছাড়ো।
396,Forget him.,তাকে ছাড়ুন।
397,God exists.,ভগবান আছে।
398,Good night.,শুভ রাত্রি।
399,He coughed.,উনি কাশলেন।
400,He coughed.,সে কাশলো।
401,He coughed.,তিনি কাশলেন।
402,He coughed.,ও কাশলো।
403,He is nice.,উনি বেশ।
404,I am ready.,আমি তৈরি।
405,I can read.,আমি পড়তে পারি।
406,I can swim.,আমি সাঁতার কাটতে পারি।
407,I eat here.,আমি এখানে খাই।
408,I eat meat.,আমি মাংস খাই।
409,I got sick.,আমি অসুস্থ হয়ে পরেছিলাম।
410,I have one.,আমার একটা আছে।
411,I have won.,আমি জিতে গেছি।
412,I heard it.,আমি শুনেছি।
413,I just ate.,আমি এই সবে খেলাম।
414,I just ate.,আমি এখনই খেলাম।
415,I like him.,আমি ওনাকে পছন্দ করি।
416,I like him.,আমি ওকে পছন্দ করি।
417,I like him.,আমি তাকে পছন্দ করি।
418,I like him.,আমার ওনাকে ভালো লাগে।
419,I like him.,আমার তাকে ভালো লাগে।
420,I like him.,আমার ওকে ভালো লাগে।
421,I like tea.,আমার চা ভালো লাগে।
422,I love you.,আমি তোমাকে ভালবাসি।
423,I need ice.,আমার বরফ চাই।
424,I promised.,আমি প্রতিশ্রুতি দিলাম।
425,I ran away.,আমি পালিয়ে গেছিলাম।
426,I ran home.,আমি বাড়ি পালিয়ে গেছিলাম।
427,I sat down.,আমি বসে পরেছিলাম।
428,I saw that.,আমি সেটা দেখেছিলাম।
429,I saw that.,আমি ওটা দেখেছিলাম।
430,I saw them.,আমি তাদের দেখতে পেলাম।
431,I saw them.,আমি ওদের দেখতে পেলাম।
432,I saw them.,আমি তাঁদের দেখতে পেলাম।
433,I saw them.,আমি ওনাদের দেখতে পেলাম।
434,I screamed.,আমি চিৎকার করলাম।
435,I screamed.,আমি চেঁচালাম।
436,I was away.,আমি বাইরে ছিলাম।
437,I was away.,আমি বাইরে গেছিলাম।
438,I was late.,আমার দেরি হয়ে গেছিল।
439,I was lost.,আমি হারিয়ে গেছিলাম।
440,I'm for it.,আমি এর পক্ষে।
441,I'm inside.,আমি ভেতরে আছি।
442,I'm inside.,আমি ভেতরে।
443,I'm so mad.,আমি একদম পাগল।
444,Is it here?,ওটা কি এখানে আছে?
445,Is that so?,তাই বুঝি?
446,It is mine.,এটা আমার।
447,Keep quiet!,চুপ করো!
448,Keep quiet!,চুপ কর!
449,Keep quiet.,চুপ কর।
450,Keep quiet.,চুপ করো।
451,Leave town.,শহর ছাড়ো!
452,Let's chat.,গল্প করা যাক।
453,Let's talk.,কথা বলা যাক।
454,Let's walk.,হাঁটা যাক।
455,Look there.,ওইদিকে দেখুন।
456,Look there.,ওইদিকে দেখো।
457,Never mind!,ছাড়!
458,Never mind!,ছাড়ো!
459,No problem!,কোনো অসুবিধা নেই!
460,No problem.,কোনো অসুবিধা নেই।
461,"Oh, really?","ও, তাই নাকি?"
462,Once again.,আর একবার।
463,She smiled.,সে হাঁসলো।
464,She smiled.,উনি হাঁসলেন।
465,She smiled.,তিনি হাঁসলেন।
466,She smiled.,ও হাঁসলো।
467,Stay there.,ওখানেই থাকো।
468,Stay there.,ওখানেই থাকুন।
469,Step aside.,সরে যান।
470,Step aside.,সরে যাও।
471,Stop there.,ওখানেই থামুন।
472,Stop there.,ওখানেই থামো।
473,Time is up.,সময় শেষ।
474,Time is up.,সময় শেষ হয়ে গেছে।
475,Tom helped.,টম সাহায্য করলো।
476,Tom nodded.,টম মাথা নাড়লো।
477,Tom saw it.,টম সেটা দেখলো।
478,Tom saw it.,টম ওটা দেখলো।
479,Tom saw it.,টম এটা দেখলো।
480,Tom sighed.,টম দীর্ঘশ্বাস ছাড়লো।
481,Tom smiled.,টম হাসলো।
482,Tom snores.,টম নাক ডাকে।
483,Tom winked.,টম চোখ মারলো।
484,Tom yawned.,টম হাই তুললো।
485,Tom yelled.,টম চিৎকার করলো।
486,Tom yelled.,টম চেঁচালো।
487,Tom's dead.,টম মৃত।
488,Tom's deaf.,টম বধির।
489,Tom's died.,টম মারা গেছে।
490,Tom's hurt.,টম আহত হয়েছে।
491,Tom's hurt.,টম আহত।
492,Tom's sick.,টম অসুস্থ।
493,Tom's sick.,টমের শরির খারাপ।
494,Tom's sick.,টমের অসুখ হয়েছে।
495,Turn right.,ডানদিকে ঘোরো।
496,Turn right.,ডানদিকে ঘুরুন।
497,Watch this.,এটা দেখুন।
498,Watch this.,এটা দেখো।
499,We want it.,আমার এটা চাই।
500,We'll help.,আমরা সাহায্য করব।
501,We'll sing.,আমরা গান করবো।
502,We'll wait.,আমরা অপেক্ষা করব।
503,We'll work.,আমরা কাজ করবো।
504,We're here.,আমরা এখানে আছি।
505,We're here.,আমরা এখানে।
506,We're lost.,আমরা হারিয়ে গেছি।
507,Who are we?,আমরা কারা?
508,Who has it?,কার কাছে আছে?
509,Who is she?,উনি কে?
510,Who is she?,ও কে?
511,Who is she?,সে কে?
512,Who is she?,তিনি কে?
513,Who was it?,কে ছিলো?
514,Who's that?,ওটা কে?
515,You called?,আপনি ডেকেছিলেন?
516,You called?,তুমি ডেকেছিলে?
517,You called?,আপনি ফোন করেছিলেন?
518,You called?,তুমি ফোন করেছিলে?
519,Are we done?,আমাদের কি হয়ে গেছে?
520,Are we done?,হয়ে গেছে?
521,Contact Tom.,টমের সঙ্গে যোগাযোগ করুন।
522,Contact Tom.,টমের সঙ্গে যোগাযোগ করো।
523,Did Tom eat?,টম কি খেয়েছে?
524,Do it again!,আবার করুন!
525,Do it again!,আবার কর!
526,Don't argue.,তর্ক করবেন না।
527,Don't argue.,তর্ক কোরো না।
528,Don't fight.,লড়াই করবেন না।
529,Don't fight.,ঝগড়া করবেন না।
530,Don't fight.,ঝগড়া কোরো না।
531,Don't fight.,লড়াই কোরো না।
532,Don't speak.,কথা বোল না।
533,Don't speak.,কথা বলিস না।
534,Don't speak.,কথা বলবেন না।
535,Forgive Tom.,টমকে ক্ষমা করে দিন।
536,Forgive Tom.,টমকে ক্ষমা করে দাও।
537,He can come.,উনি আসতে পারেন।
538,He can come.,ও আসতে পারে।
539,He can come.,সে আসতে পারে।
540,He can come.,তিনি আসতে পারেন।
541,He can read.,উনি পড়তে পারেন।
542,He can read.,ও পড়তে পারে।
543,He can read.,সে পড়তে পারে।
544,He stood up.,উনি উঠে দাঁড়ালেন।
545,He stood up.,সে উঠে দাঁড়ালো।
546,He stood up.,তিনি উঠে দাঁড়ালেন।
547,He stood up.,ও উঠে দাঁড়ালো।
548,How are you?,আপনি কেমন আছেন?
549,How are you?,তুমি কেমন আছো?
550,How are you?,তুই কেমন আছিস?
551,I am taller.,আমি বেশি লম্বা।
552,I apologize.,আমি ক্ষমা চাইছি।
553,I came back.,আমি ফিরে এলাম।
554,I can dance.,আমি নাচতে পারি।
555,I can't say.,আমি ঠিক বলতে পারবো না।
556,I don't cry.,আমি কাঁদি না।
557,I eat bread.,আমি পাঁউরুটি খাই।
558,I feel cold.,আমার শীত করছে।
559,I feel fine.,আমার ভাল লাগছে।
560,I feel good.,আমার ভাল লাগছে।
561,I feel well.,আমার ভাল লাগছে।
562,I felt that.,আমি ওটা অনুভব করলাম।
563,I had a cat.,আমার একটা বেড়াল ছিলো।
564,I have time.,আমার সময় আছে।
565,I know this.,আমি এটা জানি।
566,I like both.,আমার দুটোই পছন্দ।
567,I like cake.,আমি কেক পছন্দ করি।
568,I like cake.,আমার কেক ভালো লাগে।
569,I like math.,আমার অঙ্ক ভালো লাগে।
570,I like math.,আমি অঙ্ক পছন্দ করি।
571,I like rice.,আমি ভাত পছন্দ করি।
572,I live here.,আমি এখানে বাস করি।
573,I live here.,আমি এখানে থাকি।
574,I live here.,আমি এখানে বসবাস করি।
575,I need help.,আমার সাহায্য দরকার।
576,I need time.,আমার সময় দরকার।
577,I trust Tom.,আমি টমকে বিশ্বাস করি।
578,I trust you.,আমি আপনাকে বিশ্বাস করি।
579,I trust you.,আমি তোমাকে বিশ্বাস করি।
580,I want more.,আমার আরো চাই।
581,I want this.,আমার এটা চাই।
582,I want this.,এটা আমার প্রয়োজন।
583,I want time.,আমার সময় চাই।
584,I was alone.,আমি একা ছিলাম।
585,I was there.,আমি ওখানে ছিলাম।
586,I was tired.,আমি ক্লান্ত ছিলাম।
587,"I went, too.",আমিও গেছিলাম।
588,I won't lie.,আমি মিথ্যা বলবো না।
589,I work here.,আমি এখানি কাজ করি।
590,I'll buy it.,আমি এটা কিনবো।
591,I'll scream.,আমি চেঁচাবো।
592,"I'm 17, too.",আমিও ১৭।
593,I'm a woman.,আমি একজন মহিলা।
594,I'm dancing.,আমি নাচছি।
595,I'm healthy.,আমি সুস্থ।
596,I'm not Tom.,আমি টম নই।
597,I'm reading.,আমি পড়ছি।
598,I'm talking.,আমি কথা বলছি।
599,I'm thirsty.,আমার তেষ্টা পেয়েছে।
600,Is Tom here?,টম কি এখানে আছে?
601,Is Tom home?,টম কি বাড়িতে আছে?
602,Is Tom well?,টম কি ভালো আছে?
603,Is that all?,অার কিছু?
604,It can't be!,এটা হতে পারে না!
605,It can't be!,হতেই পারে না!
606,It may snow.,বরফ পরতে পারে।
607,Look at Tom.,টমের দিকে তাকান।
608,Look at Tom.,টমের দিকে তাকাও।
609,Many thanks.,অনেক ধন্যবাদ।
610,That's mine.,ওটা আমার।
611,They yelled.,তারা চিৎকার করলো।
612,They yelled.,তাঁরা চিৎকার করলেন।
613,They yelled.,ওরা চিৎকার করলো।
614,They yelled.,ওনারা চিৎকার করলেন।
615,They yelled.,ওনারা চেঁচালেন।
616,They yelled.,ওরা চেঁচালো।
617,They yelled.,তারা চেঁচালো।
618,They yelled.,তাঁরা চেঁচালেন।
619,This is new.,এটা নতুন।
620,Tom frowned.,টম ভ্রূকুটি করলো।
621,Tom frowned.,টম ভুরু কোঁচকালো।
622,Tom got mad.,টম রেগে গেছিলো।
623,Tom inhaled.,টম নিশ্বাস ছাড়লো।
624,Tom is dead.,টম মৃত।
625,Tom is hurt.,টম আহত হয়েছে।
626,Tom is hurt.,টম আহত।
627,Tom is sick.,টম অসুস্থ।
628,Tom is sick.,টমের শরির খারাপ।
629,Tom is sick.,টমের অসুখ হয়েছে।
630,Tom laughed.,টম হাঁসলো।
631,Tom left me.,টম আমাকে ছেড়ে চলে গিয়েছিল।
632,Tom saw her.,টম তাকে দেখলো।
633,Tom saw her.,টম ওকে দেখলো।
634,Tom saw her.,টম ওনাকে দেখলো।
635,Tom saw him.,টম তাকে দেখলো।
636,Tom saw him.,টম ওকে দেখলো।
637,Tom saw him.,টম ওনাকে দেখলো।
638,Tom saw you.,টম আপনাকে দেখলো।
639,Tom saw you.,টম তোমাকে দেখলো।
640,Tom saw you.,টম আপনাদের দেখলো।
641,Tom saw you.,টম তোমাদের দেখলো।
642,Tom shouted.,টম চিৎকার করলো।
643,Tom shouted.,টম চেঁচালো।
644,Tom's alive.,টম বেঁচে আছে।
645,Tom's alone.,টম একলা আছে।
646,Tom's right.,টমই ঠিক।
647,Tom's tired.,টম ক্লান্ত।
648,Walk slowly.,আস্তে হাঁটুন।
649,Walk slowly.,আস্তে হাঁটো।
650,We are here.,আমরা এখানে আছি।
651,We are lost.,আমরা হারিয়ে গেছি।
652,We ate eggs.,আমরা ডিম খেয়েছি।
653,We're twins.,আমরা জমজ।
654,What'd I do?,আমি কি করলাম?
655,What's that?,ওটা কী?
656,What's that?,সেটা কী?
657,What's this?,এটা কী?
658,Who are you?,আপনি কে?
659,Who are you?,তুমি কে?
660,Who are you?,তুই কে?
661,You fainted.,আপনি অজ্ঞান হয়ে গেছিলেন।
662,You fainted.,তুমি অজ্ঞান হয়ে গেছিলে।
663,Anybody here?,কেউ আছেন?
664,Anybody home?,বাড়িতে কেউ আছেন?
665,Are we ready?,আমরা কি তৈরি?
666,Are you sick?,আপনি কি অসুস্থ?
667,Are you sick?,তুমি কি অসুস্থ?
668,Are you sure?,তুমি নিশ্চিত তো?
669,Are you sure?,আপনি নিশ্চিত তো?
670,Can you read?,আপনি পড়তে পারেন?
671,Can you read?,তুমি পড়তে পারো?
672,Come outside.,বাইরে আসো।
673,Come outside.,বাইরে আসুন।
674,Come with me.,আমার সাথে এসো।
675,Come with me.,আমার সঙ্গে আসুন।
676,Come with me.,আমার সঙ্গে আস।
677,Drive slowly.,আস্তে গাড়ি চালান।
678,Drive slowly.,আস্তে গাড়ি চালাও।
679,Ghosts exist.,ভুত আছে।
680,Good evening.,শুভ সন্ধ্যা।
681,Good morning.,সুপ্রভাত।
682,Grab my hand.,আমার হাতটা ধরুন।
683,Grab my hand.,আমার হাতটা ধরো।
684,He got angry.,সে রেগে গেছিলো।
