,Source,Target
85,Hit Tom.,টমকে মারো।
1841,Is this seat taken?,এই আসনটা কি নেওয়া হয়ে গেছে?
2956,Someone started screaming.,কেউ চিৎকার শুরু করলো।
3599,Spanish is her native language.,স্প্যানিশ ওনার মাতৃভাষা।
2453,Can you play the piano?,তুমি পিয়ানো বাজাতে পার?
4333,"I'm really hungry, but I can't decide what I want to eat.","আমার খুব খিদে পেয়েছে, কিন্তু আমি ঠিক করতে পারছি না কি খাব।"
2929,I don't care what he does.,ও কী করে না করে আমি তা কেয়ার করি না।
3779,She's asking how that's possible.,ইনি জিজ্ঞাসা করছেন এটা কি করে সম্ভব।
4152,"I can speak Chinese, but I can't write it.","আমি চাইনিজ বলতে পারি, কিন্তু আমি লিখতে পারি না।"
704,I'll be late.,আমার দেরী হবে।
2812,Salt is used to thaw ice.,বরফ গলাবার জন্য নুন ব্যাবহার করা হয়।
2093,Why are you yelling?,তোমরা চিৎকার করছো কেন?
3803,Do you think Tom wants to eat now?,আপনার কি মনে হয় টম এখন খেতে চায়?
2752,Can I change the channel?,আমি কি চ্যানেলটা পালটাতে পারি?
1725,Tom coughed again.,টম আবার কাশলো।
2436,Where are your things?,আপনাদের জিনিসপত্র কোথায়?
1489,I know your name.,আমি তোমাদের নাম জানি।
2050,Tom is in the house.,টম বাড়ির ভেতরে আছে।
2545,My son came to my room.,আমার ছেলে আমার ঘরে এসেছিল।
1082,Are those yours?,সেইগুলো কি আপনার?
936,Tom's yelling.,টম চিৎকার করছে।
1139,He was speaking.,তিনি কথা বলছিলেন।
2457,Did you see him go out?,তুমি কি ওনাকে বেড়িয়ে যেতে দেখেছো?
4125,Can you recommend a good hotel in Boston?,আপনি বস্টনে কোনো ভাল হোটেলের সুপারিশ করতে পারবেন?
168,I can go.,আমি যেতে পারি।
2793,I heard three explosions.,আমি তিনটে বিস্ফোরণের আওয়াজ শুনলাম।
1160,I booked a seat.,আমি একটা আসন সংরক্ষণ করলাম।
2285,Everybody ran outside.,সবাই বাইরে দৌড়ে গেলেন।
1924,Who are those guys?,ওনারা কারা?
3543,You can eat whatever you like.,তোমার যা ইচ্ছে তাই খেতে পারো।
4026,"Tom is tall, but not as tall as I am.","টম লম্বা, কিন্তু আমার মতো লম্বা নয়।"
2840,Tom kept interrupting me.,টম আমাকে বারবার বাধা দিচ্ছিল।
3299,Tom used to play the guitar.,টম গীটার বাজাতো।
3750,I know Tom was a friend of yours.,আমি জানি টম তোমার বন্ধু ছিল।
523,Did Tom eat?,টম কি খেয়েছে?
2623,Everybody's ready to go.,সকলেই যাওয়ার জন্য তৈরি।
1041,They're inside.,ওরা ভেতরে আছে।
2629,Have you ever done that?,আপনি কখনো ওটা করেছেন?
4023,Tom has been to Boston several times.,টম অনেকবার বস্টন গেছেন।
3842,My neighbor's name is Tom Jackson.,আমার প্রতিবেশীর নাম টম জ্যাকসন।
806,Don't call me.,আমাকে ডাকবেন না।
1911,What are you doing?,আপনারা কী করছেন?
4098,I am proud to be a part of this project.,আমি এই প্রকল্পের একটি অংশ হয়ে গর্বিত।
410,I have one.,আমার একটা আছে।
2663,I fell in love with him.,আমি তার প্রেমে পড়ে গেলাম।
1087,Are you doctors?,আপনারা কি ডাক্তার?
3084,This river is deepest here.,এই নদীটা এইখানে সবথেকে গভীর ।
3390,How much is the entrance fee?,প্রবেশমূল্য কত?
688,He got angry.,ও রেগে গেছিলো।
3471,I am looking for a good hotel.,আমি একটা ভাল হোটেল খুঁজছি।
3174,I don't want Tom to find me.,আমি চাই না টম আমাকে খুঁজে পাক।
1144,Here's your key.,এই নিন আপনার চাবি।
2968,Tom has his own apartment.,টমের নিজস্ব আ্যপার্টমেন্ট আছে।
3554,French is not an easy language.,ফরাসি সহজ ভাষা নয়।
4145,When were potatoes introduced into Japan?,জাপানে কবে থেকে আলুর প্রবর্তন হয়ছিল?
2263,Do you have a vacancy?,আপনাদের কি ঘর খালি আছে?
2877,You can't lift the piano.,আপনি পিয়ানোটা তুলতে পারবেন না।
4231,A lot of English words are derived from Latin.,ইংরাজির অনেক শব্দ লাতিন থেকে উৎপন্ন হয়েছে।
3074,My son is taller than I am.,আমার ছেলে আমার থেকে লম্বা।
409,I got sick.,আমি অসুস্থ হয়ে পরেছিলাম।
2811,Please speak more loudly.,অনুগ্রহ করে আরেকটু জোরে কথা বলুন।
1591,What's your name?,তোর নাম কি?
1783,Get away from here.,এখান থেকে চলে যাও।
989,I said nothing.,আমি কিছুই বলিনি।
520,Are we done?,হয়ে গেছে?
1317,She is a doctor.,ও একজন ডাক্তার।
4295,Tom shouldn't have gone out after dark by himself.,টমের অন্ধকারের মধ্যে একলা একলা বেড়ানো উচিৎ হয় নি।
2573,Tom is still in Boston.,টম এখনো বস্টনে রয়েছে।
3031,Don't forget to invite Tom.,টমকে আমন্ত্রন জানাতে ভুলো না।
2924,I can't bend my right arm.,আমি আমার ডান হাতটা মুড়তে পারছি না।
2774,How could they forget us?,ওরা আমাদের কী করে ভুলে যেতে পারে?
605,It can't be!,হতেই পারে না!
4238,It's not always so easy to do the right thing.,সঠিক জিনিসটা করা সবসময় অত সহজ হয় না।
3532,Where are you going on Monday?,সোমবার তুমি কোথায় যাচ্ছো?
2662,I fell in love with him.,আমি ওনার প্রেমে পড়ে গেলাম।
3193,I just want Tom to be happy.,আমি খালি চাই টম সুখে থাকুক।
4357,This tape recorder will make it easier for us to learn English.,এই টেপ রেকর্ডারটা আমাদের ইংরাজি শেখা সহজ করে দেবে।
514,Who's that?,ওটা কে?
1963,Football is a sport.,ফুটবল একটা খেলা।
2903,He taught me how to write.,ও আমাকে লিখতে শিখিয়েছে।
2512,I have three daughters.,আমার তিনটে মেয়ে আছে।
3007,Would you like to come in?,তোমরা কি ভেতরে আসবে?
3033,Eat whatever food you like.,আপনাদের যে খাবার পছন্দ হয় সেটা খান।
3880,Did you go anywhere for the summer?,আপনি কি গরমে কোথাও গেছিলেন?
463,She smiled.,সে হাঁসলো।
1544,The ball was wet.,বলটা ভেজা ছিলো।
1314,She is a doctor.,ইনি একজন ডাক্তার।
671,Can you read?,তুমি পড়তে পারো?
2679,I've forgotten her name.,আমি ওনার নাম ভুলে গেছি।
1850,My father is frank.,আমার বাবা খোলামেলা।
3821,I haven't downloaded the file yet.,আমি এখনো ফাইলটা নামাইনি।
631,Tom left me.,টম আমাকে ছেড়ে চলে গিয়েছিল।
2979,Tom told me all about you.,টম আপনার ব্যাপারে আমাকে সব বলেছে।
3254,My father is going to China.,আমার পিতা চীনে যাচ্ছেন।
606,It may snow.,বরফ পরতে পারে।
4,Run!,পালান!
416,I like him.,আমি ওকে পছন্দ করি।
2548,No one man could do it.,কোনো একজন মানুষ এটা করতে পারবে না।
3885,Do you understand what he's saying?,ও যা বলছে আপনি কি তা বুঝতে পারছেন?
2482,He is having lunch now.,ও এখন লাঞ্চ করছে।
2951,Nobody suspected anything.,কেউই কিছু সন্দেহ করেনি।
1735,Tom slept outside.,টম বাইরে ঘুমালো।
509,Who is she?,উনি কে?
1300,Nothing's there.,ওখানে কিছুই নেই।
4340,"I'd like to do it, but unfortunately I don't have the time.","আমার এটা করার ইচ্ছা রয়েছে, কিন্তু দুর্ভাগ্যক্রমে আমার হাতে সময় নেই।"
3404,I'd like to change my ticket.,আমি আমার টিকিটটি পালটাতে চাই।
2205,This is Tom's sister.,এই হচ্ছে টমের দিদি।
3121,You are always complaining.,তোমরা সবসময় অভিযোগ কর।
17,Attack!,আক্রমণ!
3670,I suddenly feel very much alone.,আমার এখনই খুব একলা লাগছে।
4307,How could you leave a four-year-old child all alone?,তুমি কি করে একটা চার বছর বয়সের বাচ্চাকে একলা ফেলে রেখে যেতে পারো?
3703,What did you do with my luggage?,আপনি আমার মলপত্রটা কি করলেন?
4341,"Tom and Mary were alone in the hall, talking to each other.","টম আর মেরি হলে একলা ছিলো, নিজেদের মধ্যে কথা বলছিলো।"
3231,I'd like you to talk to Tom.,আমার ইচ্ছা যে আপনি টমের সঙ্গে কথা বলেন।
3415,May I have your phone number?,আমি কি আপনার ফোন নাম্বারটি পেতে পারি?
2538,It's October the third.,তেশরা অক্টোবর।
872,Look at these.,এগুলোর দিকে দেখো।
743,Tom has time.,টমের হাতে সময় আছে।
2358,My baggage is missing.,আমার মালপত্র পাওয়া যাচ্ছে না।
1890,Tom has a blue car.,টমের একটা নীল গাড়ি আছে।
2547,My throat is a bit dry.,আমার গলাটা একটু শুকিয়ে গেছে।
3909,She accompanied me to the hospital.,উনি আমার সঙ্গে হাসপাতালে গেছিলেন।
2248,Your answer is wrong.,আপনার উত্তর ভুল।
1686,My father is here.,আমার বাবা এখানে আছেন।
885,She got angry.,উনি রেগে গেছিলেন।
517,You called?,আপনি ফোন করেছিলেন?
3018,At what time does it close?,এটা কটার সময় বন্ধ হয়?
2510,I don't want you to go.,আমি চাই না যে তুই যাস।
1598,Who did Tom bite?,টম কাকে কামড়েছে?
1973,I am eating noodles.,আমি নুডলস খাচ্ছি।
3910,She accompanied me to the hospital.,সে আমার সঙ্গে হাসপাতালে গেছিল।
3268,Thirteen people were killed.,তেরোজন লোক নিহত হয়েছেন।
3115,Where's the ticket counter?,টিকিট কাউন্টারটা কোথায়?
3883,Do you mind my sitting next to you?,আমি তোর পাশে বসলে কিছু মনে করবি?
3469,How many nights will you stay?,আপনারা কত রাত্রি থাকবেন?
9,Stop!,থামুন!
2550,School begins tomorrow.,ইস্কুল কালকে শুরু হবে।
2712,They have two daughters.,তাঁদের দুটো মেয়ে আছে।
1044,This is my dog.,এটা আমার কুকুর।
1129,Everyone saw it.,সবাই সেটা দেখেছিলো।
3477,I haven't done this for years.,আমি এটা অনেক বছর ধরে করিনি।
399,He coughed.,উনি কাশলেন।
1790,He lives near here.,তিনি কাছাকাছিই থাকেন।
2225,We're both named Tom.,আমাদের দুজনের নামই টম।
1190,I see something.,আমি কিছু একটা দেখতে পাচ্ছি।
536,Forgive Tom.,টমকে ক্ষমা করে দাও।
177,I waited.,আমি অপেক্ষা করলাম।
3763,I'm getting off at the next stop.,আমি পরের স্টপে নেবে যাব।
3282,Tom doesn't want to see you.,টম আপনার সঙ্গে দেখা করতে চায় না।
1971,How old is this zoo?,এই চিড়িয়াখানাটার বয়স কত?
3072,My father drives very well.,আমার বাবা খুব ভাল গাড়ি চালাতে পারে।
3245,I've never seen Tom happier.,আমি টমকে এর থেকে খুশি কখনো দেখিনি।
1845,Keep an eye on Tom.,টমের উপর নজর রাখুন।
4093,Have you ever heard Tom speaking French?,আপনি কি কখনো টমকে ফরাসিতে কথা বলতে শুনেছেন?
751,Tom screamed.,টম চিৎকার করলো।
2690,May I see your passport?,আমি কি আপনার পাসপোর্টটি দেখতে পারি?
3354,Buddhism originated in India.,বৌদ্ধধর্মের উৎপত্তি ভারতে।
2656,I don't know the answer.,আমি উত্তরটা জানিনা।
587,"I went, too.",আমিও গেছিলাম।
1197,I totally agree.,আমি একদম একমত।
1618,Are you all right?,আপনি ঠিক আছেন তো?
293,I'm right.,আমিই ঠিক।
2090,Why are you yelling?,তুমি চেঁচাচ্ছো কেন?
2658,I don't want it anymore.,আমার আর এটা দরকার নেই।
4107,The servants' screams awakened everyone.,চাকরগুলোর চিৎকার সবাইকে জাগিয়ে দিলো।
479,Tom saw it.,টম এটা দেখলো।
3608,This product was made in China.,এই পন্যটি চায়নায় তৈরি।
2056,Tom screamed loudly.,টম জোরে চেঁচালো।
54,Get Tom.,টমকে আনুন।
2103,Are your hands clean?,তোমার হাত কি পরিষ্কার?
3137,Do you want to learn French?,তুমি কি ফরাসি শিখতে চাও?
873,My back hurts.,আমার পিঠ ব্যাথা করছে।
2954,She got sick this weekend.,গত সপ্তাহের শেষের দিকে উনি অসুস্থ হয়ে পরেছিলেন।
690,He is eating.,তিনি খাচ্ছেন।
4183,Nothing that Tom does surprises me anymore.,টমের কোন কাজ‌ই এখন আমাকে অবাক করে না।
945,Where are you?,তুমি কোথায়?
3242,I've learned a lot from you.,আমি আপনার থেকে অনেক কিছু শিখেছি।
1631,Everybody is here.,সবাই এখানে আছেন।
2665,I finally found my keys.,আমি অবশেষে আমার চাবিগুলো পেয়েছি।
1229,I'm coming back.,আমি ফিরে আসছি।
2015,It looks appetizing.,এটা দেখে মুখরোচক বলে মনে হচ্ছে।
3605,This house is my grandfather's.,এই বাড়িটা আমার দাদুর।
941,We're winning.,আমরা জিতছি।
3236,I'm genuinely happy for Tom.,আমি প্রকৃতই টমের জন্য খুশি হয়েছি।
418,I like him.,আমার ওনাকে ভালো লাগে।
2827,Three people were killed.,তিনজন নিহত হয়েছেন।
4027,Tom told me he wants to go to Boston.,টম আমাকে বললো যে সে বস্টন যেতে চায়।
1977,I don't like coffee.,আমর কফি ভালো লাগে না।
3507,Tom always keeps his promises.,টম সবসময় ওনার কথা রাখেন।
2231,Who would believe me?,আপনি কাকে বিশ্বাস করবেন?
4018,The terrorists released the hostages.,আতঙ্কবাদীরা বন্দিদের ছেড়ে দিলো।
3094,Tom was humiliated by Mary.,টম মেরি দ্বারা অপদস্ত হয়েছিলো।
145,Get lost!,যাও এখান থেকে!
4309,People should understand that the world is changing.,মানুষের বোঝা উচিৎ যে পৃথিবী বদলাচ্ছে।
2688,Mary decorated the cake.,মেরি কেকটা সাজালো।
1949,Can he speak French?,সে কি ফরাশি ভাষা বলতে পারে?
1378,Tom's screaming.,টম চেঁচাচ্ছে।
1741,What does it cost?,এর দাম কত?
3443,We both know that's not true.,আমরা দুজনেই জানি যে সেটা সত্যি নয়।
1484,I heard a scream.,আমি একটা চিৎকার শুনলাম।
1926,Why can't you come?,তুমি আসতে পারবে না কেন?
2654,I do not understand you.,আমি আপনার কথা বুঝতে পারছি না।
3303,Tom wanted to know the time.,টম সময় জানতে চেয়েছিল।
138,Call Tom.,টমকে ডাকো।
3445,We have to move very quickly.,আমাদেরকে খুব তাড়াতাড়ি চলতে হবে।
225,Tell Tom.,টমকে বলো।
1566,Tom laughs a lot.,টম খুব হাসে।
1512,Is the lake deep?,হ্রদটা কি খুব গভীর?
680,Good evening.,শুভ সন্ধ্যা।
2661,I don't want to eat now.,আমি এখন খেতে চাই না।
3758,I would like you to come with me.,আমি চাই আপনি আমার সাথে আসুন।
2671,I want something to eat.,আমি কিছু খেতে চাই।
2172,I'm not feeling well.,আমার শরীর ভালো লাগছে না।
2067,"Well, see you later.","আচ্ছা, আবার পরে দেখা হবে।"
1998,I'm not a bit tired.,আমি একটুও ক্লান্ত নই।
1215,I'll call first.,আমি আগে ফোন করবো।
494,Tom's sick.,টমের অসুখ হয়েছে।
3733,He doesn't want to talk about it.,ও এই বিষয় কথা বলতে চায় না।
3169,I don't know who killed Tom.,টমকে কে মেরেছে আমি জানি না।
134,You won.,তুমি জিতলে।
3559,He is actually not the manager.,উনি আসলে ম্যানেজারই নন।
2702,She knows where we live.,তিনি জানেন আমরা কোথায় থাকি।
656,What's that?,সেটা কী?
4260,"Tom kept knocking on the door, but nobody came.","টম বারবার দরজায় ধাক্কা দিলেন, কিন্তু কেউ বেরোলো না।"
2308,How much does it cost?,এটার দাম কত?
554,I can dance.,আমি নাচতে পারি।
2694,Nobody is indispensable.,কেউই অপরিহার্য নয়।
1775,Drink up your milk.,তোর দুধটা খেয়ে নে।
3059,"I'd like a receipt, please.",অনুগ্রহ করে একটা রিসিট দেবেন।
3484,I went to the Jacksons' house.,আমি জ্যাকসনদের বাড়ি গিয়েছিলাম।
98,"Me, too.",আমিও।
2873,You can eat all you want.,তুমি যত ইচ্ছে তত খেতে পা্রো।
3938,Could you reduce the price a little?,আপনি কি দামটা একটু কমাতে পারবেন?
3990,Do you understand what I want to say?,আমি যা বলতে চাইছি আপনি কি তা বুঝতে পারছেন?
2133,He has two daughters.,ওনার দুটো মেয়ে আছে।
2574,Tom is still in prison.,টম এখনো গারদে।
519,Are we done?,আমাদের কি হয়ে গেছে?
3148,How old is your grandfather?,আপনার ঠাকুরদার বয়স কত?
349,We'll win.,আমরাই জিতব।
3744,How far is the airport from here?,এয়ারপোর্ট কত দুর এখান থেকে?
4343,Tom thought that the amulet would protect him from witches.,টম ভাবলেন যে তাবিজটা ওনাকে ডাইনিদের হাত থেকে বাঁচাবে।
1559,Tom coughs a lot.,টম খুব কাশে।
3296,Tom seemed happy to see you.,টম আপনাকে দেখে খুশি বলে মনে হচ্চে।
1458,Here is your key.,এই নাও তোমাদের চাবি।
3755,I tried to swim across the river.,আমি নদীটা সাঁতরে পার হওয়ার চেষ্টা করলাম।
3547,"Can you gift-wrap this, please?",এটা কি একটু গিফট-র‍্যাপ করে দিতে পারবেন?
694,Hold my hand.,আমার হাতটা ধরো।
3334,What's the admission charge?,প্রবেশমূল্য কত?
4372,I heard they found a skeleton buried in the basement of a house on Park Street.,আমি শুনলাম যে তাঁরা পার্ক স্ট্রিটের একটা বাড়ির ভিতের মধ্যে থেকে একটা কঙ্কাল পেয়েছেন।
2438,Where can I buy books?,আমি বই কোথা থেকে কিনতে পারব?
2306,How much do I owe you?,আপনি আমার কাছ থেকে কত পাবেন?
3561,How do you pronounce this word?,এই শব্দটির উচ্চারণ কী?
3579,I'd like to stay for one night.,আমি এক রাতের জন্য থাকতে চাই।
2609,Can I take a look at it?,আমি কি এটা একটু দেখেতে পারি?
422,I love you.,আমি তোমাকে ভালবাসি।
3195,I need a box about this big.,আমার একটা এই রকম বড় বাক্স দরকার।
3485,I'd like a first-class ticket.,আমার একটা প্রথম শ্রেণীর টিকিট চাই।
